Name,Age,City_Tier,Job_Type,Monthly_Income,EMI_Amount,Active_Loans,Credit_Utilization(%),UPI_Transactions,Bill_Payment_History(%),Bank_Balance_Variance,Is_MSME,GST_Revenue,Invoice_Defaults,Credit_Score
Liam Goel,23,2,Student,21072,7796,2,97,51,95,26,0,0,0,637
Jagrati Wagle,59,1,Salaried,18008,9724,1,91,59,74,13,0,0,0,637
Eesha Lalla,28,3,Salaried,54351,24457,2,56,43,84,36,0,0,0,648
Rudra Bail,52,1,Salaried,26670,12534,2,99,50,71,19,0,0,0,615
Jasmit Mitter,49,2,Salaried,11036,4524,1,42,60,72,22,0,0,0,691
Kevin Edwin,42,2,Student,18712,13098,0,71,57,87,39,0,0,0,633
Samarth Gandhi,40,3,Salaried,20779,5818,0,93,55,77,36,1,368696,0,721
Nitesh Deshmukh,26,1,Salaried,15735,5349,2,51,55,73,31,0,0,0,650
Yashasvi Manne,49,1,Student,22623,7239,0,82,45,89,49,0,0,0,713
Gaurang Sinha,37,3,Salaried,33452,6021,0,84,50,78,13,0,0,0,697
Edhitha Konda,51,1,Salaried,24007,6481,2,76,42,79,40,0,0,0,693
Isha Madan,54,2,Salaried,30923,11441,1,38,43,90,40,0,0,0,748
Vasana Oza,58,1,Salaried,29260,13167,1,54,42,74,7,0,0,0,690
Harshil Luthra,57,2,Salaried,32553,8138,0,41,56,74,24,0,0,0,752
Sai Nagi,24,2,Self-Employed,47001,14100,0,37,45,91,9,0,0,0,725
Banjeet Naidu,22,2,Salaried,15020,5857,1,16,57,79,21,0,0,0,690
Bimala Pai,32,1,Salaried,10000,6700,2,32,56,90,23,0,0,0,647
Oeshi Amble,55,3,Salaried,30989,12705,2,23,58,77,22,0,0,0,720
Harsh Reddy,26,2,Salaried,61464,19668,0,97,42,83,47,0,0,0,648
Dakshesh Vora,28,2,Salaried,23554,6595,1,69,49,94,11,0,0,0,699
Warhi Ranganathan,41,2,Salaried,12882,9017,0,18,41,96,37,0,0,0,702
Reyansh Mallick,55,3,Student,27697,19387,2,23,57,95,28,0,0,0,698
Yachana Bhakta,35,3,Student,10000,6300,3,44,43,80,28,0,0,0,618
Ekavir Swamy,27,1,Self-Employed,23569,1885,1,50,51,72,25,1,103134,1,713
Yamini Kunda,35,3,Self-Employed,10000,2100,0,11,50,79,9,0,0,0,763
Gunbir Gole,26,2,Salaried,16280,6674,1,83,53,70,11,1,118110,1,608
Vedhika Patla,37,3,Salaried,67790,34572,0,35,45,96,19,0,0,0,716
Leela Ratti,24,1,Salaried,11660,6996,2,16,50,85,41,0,0,0,654
Omaja Virk,42,1,Self-Employed,27880,8921,0,18,66,93,15,1,357805,0,824
Hemangini Dada,52,2,Self-Employed,30365,19129,2,24,54,90,14,1,304940,1,746
Onveer Lata,42,2,Salaried,13366,8554,3,25,55,86,48,0,0,0,659
Zansi Mani,47,1,Student,49884,2993,1,93,41,80,19,0,0,0,723
Darika Dasgupta,35,1,Salaried,16725,11540,1,62,41,98,6,0,0,0,644
Maanas Mukhopadhyay,42,2,Self-Employed,22480,14836,1,55,50,87,47,1,370400,0,697
Nisha Setty,48,1,Salaried,21381,7269,1,17,48,87,11,1,493120,0,809
Diya Sengupta,58,1,Student,32247,5481,0,58,58,74,35,1,297559,0,802
Tanvi Ramakrishnan,29,3,Salaried,77885,17134,2,78,52,97,17,0,0,0,700
Harsh Panchal,54,3,Salaried,14144,1980,1,45,44,81,13,0,0,0,769
Ganga Shah,56,2,Salaried,26461,16935,2,63,49,97,37,0,0,0,676
Hritik Seshadri,29,2,Salaried,40441,18198,1,88,52,98,11,0,0,0,656
Avi Kamdar,35,1,Salaried,13140,3285,2,56,56,74,15,0,0,0,680
Jeremiah Taneja,40,3,Salaried,18571,3157,2,68,45,86,36,0,0,0,716
Lila Randhawa,28,1,Self-Employed,34451,1378,0,95,51,83,5,0,0,0,709
Dominic Shukla,48,1,Self-Employed,15918,5252,3,83,55,82,47,0,0,0,665
Chatresh Mall,39,1,Salaried,17196,2751,0,28,46,99,43,0,0,0,803
Azaan Natarajan,36,2,Salaried,10000,100,0,33,50,79,8,1,402761,1,833
Upadhriti Mander,31,2,Salaried,14788,2809,2,77,55,83,20,0,0,0,682
Warhi Tailor,28,3,Self-Employed,10000,1900,2,34,55,77,43,0,0,0,708
Sai Sahota,53,1,Self-Employed,21763,9140,3,92,42,72,17,0,0,0,626
Sarthak Badami,30,3,Salaried,10000,2500,1,94,43,70,12,0,0,0,636
Amruta Dass,38,2,Self-Employed,17699,176,1,37,50,95,11,0,0,0,804
Adweta Chanda,55,1,Self-Employed,23847,11923,0,85,63,97,26,0,0,0,700
Ekiya Narang,23,2,Self-Employed,19998,8399,0,69,49,90,7,1,94491,0,665
Gagan Dalal,47,3,Salaried,30349,606,3,58,50,97,24,0,0,0,780
Chanchal Bali,48,2,Salaried,28963,18246,2,96,62,73,12,1,428455,0,634
Chatura Sodhi,26,1,Salaried,10311,4021,1,80,50,72,27,0,0,0,619
Udant Bala,34,3,Salaried,21815,13743,1,42,51,91,39,0,0,0,660
Indira Nanda,27,1,Self-Employed,10000,3000,1,94,59,96,38,0,0,0,673
Aarini Sama,30,3,Self-Employed,20083,1606,1,18,46,72,47,0,0,0,750
Sanya Ben,35,3,Salaried,14429,2452,2,42,58,97,22,1,228948,0,806
Sudiksha Kapadia,51,2,Self-Employed,18466,9602,1,23,50,79,20,0,0,0,706
Andrew Halder,49,1,Salaried,18815,12982,1,45,59,93,31,0,0,0,674
Priya Narula,37,2,Salaried,27847,4455,2,45,47,71,9,0,0,0,706
Imaran Chaudhry,49,2,Salaried,21407,5137,1,25,45,88,45,0,0,0,774
Banjeet Mannan,35,1,Salaried,16086,1286,0,11,48,91,15,0,0,0,813
Ikshita Chaudhary,46,1,Student,10000,700,0,88,37,75,21,1,246134,1,774
Ikshita Wadhwa,32,1,Self-Employed,30317,13642,2,82,55,87,17,0,0,0,635
Urmi Ramakrishnan,45,1,Salaried,11471,3670,0,85,59,71,39,0,0,0,668
Bahadurjit Boase,25,1,Self-Employed,10000,4500,1,72,46,82,11,0,0,0,633
Pranav Minhas,24,1,Student,12598,4787,0,54,46,94,41,0,0,0,698
Tarak Mani,51,3,Self-Employed,33677,10776,2,71,56,88,30,1,249294,1,756
Yochana De,23,2,Salaried,20350,12413,1,85,51,80,45,0,0,0,581
Simon Chakraborty,23,3,Self-Employed,29553,4432,3,39,51,98,40,0,0,0,735
Nitara Magar,46,1,Salaried,12643,7585,1,15,50,90,16,0,0,0,711
Xalak Shetty,37,3,Salaried,19405,12419,3,94,59,73,19,0,0,0,555
Tejas Nayak,30,2,Student,56577,565,0,68,46,81,20,0,0,0,742
Eesha Thakkar,22,2,Salaried,18617,7260,1,50,40,71,10,0,0,0,640
Edhitha Vig,44,2,Salaried,12912,5681,0,28,44,96,34,1,249310,0,799
Oni Hayre,31,3,Self-Employed,16636,10147,0,80,52,92,28,0,0,0,633
Harrison Iyengar,44,1,Salaried,28329,13597,0,70,45,97,32,0,0,0,701
Faqid Ratta,55,1,Salaried,44752,29088,0,10,52,86,41,0,0,0,723
Vasana Shroff,43,1,Salaried,10000,1700,2,98,62,94,36,0,0,0,707
Christopher Grewal,52,1,Salaried,19625,8242,0,21,49,70,5,0,0,0,721
Pratyush Deep,43,2,Salaried,16128,9515,0,76,54,75,41,0,0,0,627
Lipika Sridhar,54,2,Salaried,18505,7031,1,38,68,92,15,0,0,0,750
Jagvi Agrawal,39,2,Self-Employed,13968,2095,0,82,49,95,24,0,0,0,743
Maanas Ranganathan,22,1,Student,13736,7966,0,96,44,97,16,1,187876,2,618
Sanya Grover,22,2,Salaried,11898,4997,1,73,56,99,43,0,0,0,667
Girindra Soni,35,1,Self-Employed,14123,5931,0,88,57,89,43,0,0,0,664
Hamsini Kalita,41,1,Salaried,19785,10881,1,99,63,99,47,0,0,0,647
Naveen Prakash,55,2,Salaried,20181,2623,3,66,46,73,9,0,0,0,715
Garima Sachdev,25,2,Salaried,28162,19150,0,56,59,96,14,0,0,0,641
Ranveer Tank,47,2,Self-Employed,23684,12789,0,11,45,77,8,1,347639,0,763
Vrishti Mangal,44,1,Salaried,23096,8776,1,15,48,71,24,0,0,0,714
Saumya Rajagopal,27,3,Student,32883,14468,2,90,38,98,40,0,0,0,643
Krishna Prabhu,26,3,Self-Employed,12230,1956,0,13,50,79,10,1,74228,0,756
Ojas Devan,53,2,Student,15965,159,1,77,57,72,45,0,0,0,743
Odika Basak,37,3,Salaried,17320,8313,0,80,36,89,5,0,0,0,663
Ucchal Kala,50,1,Salaried,20714,13256,0,64,42,73,25,0,0,0,637
Krishna Kunda,28,2,Salaried,33494,15407,0,15,59,74,16,0,0,0,687
Vasatika Panchal,27,3,Self-Employed,24064,6256,0,86,55,99,29,0,0,0,705
Chatresh Ram,26,2,Salaried,38359,21864,0,59,47,90,30,0,0,0,650
Veer Gour,24,2,Self-Employed,47478,3323,2,48,54,91,30,0,0,0,740
Chandani Kannan,21,1,Salaried,17527,12093,0,92,50,77,42,0,0,0,559
Abha Agrawal,35,1,Self-Employed,10000,3100,0,41,46,99,15,0,0,0,753
Lopa Kara,51,1,Salaried,40025,22814,0,41,49,78,20,1,79193,0,686
Arunima Brahmbhatt,45,2,Salaried,19697,12409,1,76,41,96,37,0,0,0,655
Wishi Gopal,53,1,Self-Employed,19291,5401,1,15,55,81,47,1,290131,1,819
Charvi Parekh,55,1,Salaried,30269,17556,2,99,47,99,19,0,0,0,654
Peter Sur,25,2,Salaried,20693,5380,0,29,59,99,42,1,209918,0,808
Arya Keer,25,2,Salaried,20871,3548,1,11,58,85,18,0,0,0,756
Oni Kari,56,2,Salaried,21961,12517,2,50,53,96,34,1,297102,0,751
Hemang Thakkar,37,3,Self-Employed,13730,2059,1,55,47,70,46,0,0,0,706
Eshana Hegde,34,2,Salaried,14774,3250,1,11,31,91,44,0,0,0,773
Caleb Bora,49,1,Salaried,36837,11787,2,89,56,71,22,0,0,0,650
Charan Kibe,28,2,Salaried,37243,10428,2,37,54,88,23,0,0,0,709
Charvi Nagi,54,1,Self-Employed,22460,4716,0,65,48,71,17,0,0,0,725
Caleb D’Alia,21,2,Salaried,19658,1572,2,29,54,73,14,0,0,0,716
Fitan Cheema,49,2,Salaried,30369,6073,2,49,64,91,38,0,0,0,754
Sanaya Baral,56,2,Salaried,19153,6895,1,37,49,90,21,0,0,0,754
Utkarsh Om,57,1,Self-Employed,23763,712,3,39,52,81,25,0,0,0,782
Raghav Raja,49,1,Salaried,56472,9600,1,45,41,80,13,0,0,0,752
Kamya Madan,25,2,Salaried,46676,18203,2,11,62,93,41,0,0,0,718
Charles Sidhu,52,1,Salaried,11851,4503,2,88,42,73,35,0,0,0,648
Ishita Bhatt,44,3,Self-Employed,23972,14862,0,87,57,83,17,0,0,0,628
Brinda Pathak,39,3,Self-Employed,12379,2723,1,40,50,95,33,0,0,0,761
Darsh Ganesan,32,2,Self-Employed,31463,6292,1,83,54,84,6,1,479224,0,738
Jai Narayan,21,3,Salaried,13382,3479,0,59,62,77,27,0,0,0,678
Udant Palla,27,3,Self-Employed,48715,24357,2,27,56,87,42,1,345376,1,722
Warinder Kota,37,1,Self-Employed,11931,1551,0,85,48,89,38,0,0,0,728
Radha Keer,54,2,Student,12960,1166,1,70,65,74,44,1,448658,0,790
Girindra Mitra,27,1,Self-Employed,11481,2181,1,79,54,87,49,1,412721,0,742
Saksham Padmanabhan,37,2,Salaried,16110,6605,0,62,46,86,35,0,0,0,689
Onkar Gala,23,1,Salaried,26768,535,2,16,44,76,35,0,0,0,750
Imaran Soni,49,3,Salaried,37194,21200,0,65,54,83,10,0,0,0,668
Rachana Sura,42,2,Salaried,14326,3294,2,54,50,82,48,0,0,0,714
Idika Chandra,58,1,Salaried,32318,4524,4,83,54,97,5,0,0,0,739
Upma Kumar,49,3,Salaried,18523,10743,1,55,53,75,29,0,0,0,650
Tejas Srinivasan,25,3,Self-Employed,10981,7247,3,13,43,92,25,0,0,0,650
Libni Raval,50,3,Salaried,35580,355,2,30,49,99,8,0,0,0,829
Baghyawati Bhagat,43,3,Salaried,18492,8876,2,30,38,82,42,0,0,0,689
Baghyawati Yohannan,41,2,Salaried,16581,4145,1,44,44,96,11,0,0,0,756
Raksha Parsa,46,1,Student,51223,21001,0,17,70,97,42,0,0,0,771
Rushil Boase,41,1,Student,32450,13304,1,28,59,84,41,1,195607,1,716
Kashish Mander,40,1,Salaried,75318,50463,0,50,44,87,32,0,0,0,656
Sai Mukherjee,43,1,Salaried,19456,10311,2,20,55,93,49,0,0,0,711
Keya Swaminathan,24,1,Salaried,25456,8145,0,86,55,77,39,0,0,0,644
Damini Narain,41,2,Student,12752,6886,1,70,40,79,7,0,0,0,638
Nitesh Ramakrishnan,41,1,Salaried,33351,9338,0,76,65,76,13,1,187073,0,688
Pushti Babu,21,1,Salaried,16292,325,2,74,35,88,22,0,0,0,713
Bhanumati Goyal,35,2,Salaried,12141,1578,0,33,44,78,36,0,0,0,755
Rachit Chatterjee,37,1,Student,15168,3488,2,54,54,72,6,0,0,0,685
Urvashi Samra,34,1,Self-Employed,22646,7020,2,20,44,78,28,0,0,0,710
Wyatt Nazareth,39,2,Self-Employed,78425,14116,2,82,49,87,45,0,0,0,701
Deepa Patil,54,1,Salaried,23669,11597,1,49,43,70,32,0,0,0,673
Bhanumati Mall,26,3,Salaried,19552,195,2,97,51,95,23,0,0,0,714
Lohit Shenoy,26,2,Self-Employed,31717,17127,3,88,52,80,42,0,0,0,577
Ryan Rana,25,2,Salaried,24267,11162,0,93,45,96,41,0,0,0,648
Chaitanya Chopra,27,1,Salaried,10000,3400,0,65,52,88,5,1,174902,1,688
Bishakha Yogi,53,1,Student,25318,15697,1,36,58,82,26,0,0,0,682
Aishani Patel,33,2,Self-Employed,41899,837,0,98,57,85,8,0,0,0,723
Ethan Goel,21,3,Salaried,19653,786,0,66,47,99,30,0,0,0,759
Vrinda Dyal,33,2,Salaried,25079,4263,2,12,44,77,36,0,0,0,743
Arin Dutta,47,2,Salaried,24001,6960,0,92,58,98,35,0,0,0,724
Robert Boase,27,1,Self-Employed,37318,19405,0,32,42,82,35,0,0,0,673
Chandresh Palan,23,2,Salaried,17262,11738,1,52,58,91,19,0,0,0,622
Manya Vala,45,1,Student,19356,1354,0,42,38,94,28,0,0,0,807
Zaid Sampath,53,1,Salaried,24663,13811,1,55,46,76,12,0,0,0,663
Lakshmi Kadakia,37,2,Self-Employed,16746,669,1,71,44,75,26,1,136733,1,722
Girish Kunda,34,1,Salaried,14718,8242,1,26,52,70,47,1,139177,0,648
Onkar Bhatti,57,2,Salaried,30332,6976,1,92,54,90,19,0,0,0,727
William Johal,43,3,Salaried,36351,23628,0,29,44,84,21,0,0,0,680
Viraj Lall,44,1,Self-Employed,16124,5804,0,91,52,80,26,0,0,0,670
Dayita Chaudhuri,49,1,Salaried,17600,7744,2,33,53,72,39,0,0,0,684
Chatresh Dave,58,1,Self-Employed,22034,12118,3,65,41,73,23,0,0,0,637
Manbir Golla,47,1,Salaried,29150,15741,1,93,52,74,7,0,0,0,615
Triveni Bhardwaj,58,2,Salaried,18495,4438,1,82,57,89,12,0,0,0,734
Anirudh Sastry,43,1,Salaried,17402,4176,1,71,36,90,24,0,0,0,722
Warjas Narang,51,2,Student,27961,17056,0,54,48,92,13,0,0,0,693
Dakshesh Mallick,56,2,Salaried,13045,4826,0,66,44,90,8,0,0,0,733
Chanchal Shenoy,37,1,Salaried,19123,0,1,46,44,78,38,0,0,0,761
Dev Ramaswamy,57,2,Self-Employed,10000,3500,2,42,51,80,24,0,0,0,723
Siya Sengupta,23,3,Self-Employed,22820,9584,0,20,50,89,41,0,0,0,712
Caleb Arora,56,1,Salaried,22708,2497,0,74,50,72,31,0,0,0,741
Upma Misra,25,2,Student,24321,13862,3,83,51,98,27,0,0,0,610
Laban Varma,35,2,Self-Employed,10000,1100,1,68,49,87,42,0,0,0,732
Tanvi Lalla,26,2,Salaried,15140,3482,1,10,64,83,31,0,0,0,743
Aachal Sarin,30,1,Self-Employed,30658,1532,0,46,63,88,13,0,0,0,770
Yashoda Saraf,52,3,Salaried,69789,41873,1,20,55,91,10,1,225639,0,768
Akshay Goda,43,2,Salaried,29312,14656,0,40,59,81,41,0,0,0,693
Peter Rout,37,2,Self-Employed,58709,27593,2,58,41,74,19,0,0,0,637
Wriddhish Kata,40,2,Self-Employed,44470,20900,3,19,38,99,5,0,0,0,721
Robert Karan,35,3,Salaried,25434,13734,0,77,34,84,16,1,251336,1,691
Gagan Rai,42,3,Self-Employed,36096,24545,2,91,33,87,32,0,0,0,597
Bimala Morar,26,3,Salaried,54582,25653,2,24,57,93,5,0,0,0,691
Watika Prabhakar,24,1,Salaried,22963,9874,1,24,47,79,45,0,0,0,678
Janani Mallick,43,1,Salaried,12650,5186,1,34,49,96,25,0,0,0,737
Idika Upadhyay,39,2,Salaried,27580,1103,0,42,45,92,40,1,94989,1,799
Omaja Mital,51,1,Salaried,19670,11408,2,74,54,95,22,1,245331,1,715
Orinder Dyal,23,2,Self-Employed,17394,9914,2,33,42,87,45,0,0,0,645
Yatin Buch,48,1,Salaried,22709,15442,0,69,42,85,39,1,102660,0,645
Niharika Chander,23,2,Student,15376,7534,3,32,55,71,28,0,0,0,620
Chakradhar Wadhwa,34,2,Student,17389,8172,1,43,43,92,24,0,0,0,693
Jalsa Aggarwal,38,2,Salaried,16635,831,1,77,53,95,41,0,0,0,756
Guneet Swamy,47,1,Self-Employed,17571,2108,2,93,51,91,30,0,0,0,723
Amruta Kalla,30,3,Salaried,17348,9367,0,99,58,96,5,0,0,0,635
Anmol Date,35,3,Salaried,43999,21999,2,37,45,88,44,0,0,0,677
Jagvi Virk,39,2,Salaried,12053,7593,1,25,39,99,44,1,453662,0,752
Chandran Biswas,29,2,Salaried,37826,1134,0,92,46,86,46,0,0,0,722
Dalbir Trivedi,24,2,Salaried,65347,12415,1,67,48,76,38,0,0,0,677
Urishilla Lala,35,1,Self-Employed,13450,7800,0,31,53,78,13,0,0,0,667
Chaitaly Chana,28,1,Salaried,21331,5119,0,25,48,72,25,0,0,0,717
Ishita Borah,21,3,Salaried,20829,2499,1,92,43,84,35,1,478792,0,727
Saumya Acharya,27,1,Self-Employed,10000,2300,0,55,49,79,18,0,0,0,702
Finn Bhardwaj,51,2,Self-Employed,28085,13199,1,73,57,87,5,0,0,0,682
Kalpit Rout,38,1,Student,25756,5666,1,96,69,80,26,0,0,0,673
Anay Bhatnagar,32,3,Self-Employed,38389,19578,0,91,52,88,48,0,0,0,636
Kabir Bansal,50,1,Salaried,27057,17857,0,60,51,71,34,0,0,0,633
Aryan Chawla,53,2,Salaried,24263,11888,6,23,57,91,21,1,496789,1,739
Suhani Choudhury,27,3,Salaried,15653,9861,2,11,55,90,21,0,0,0,668
Ekansh Agarwal,48,2,Salaried,10000,3200,2,11,51,90,48,1,325094,1,815
Reva Rama,23,2,Salaried,29820,19383,0,61,53,93,18,0,0,0,633
Kritika Sarma,26,2,Salaried,47822,23911,2,44,43,93,24,1,471149,1,715
Jagrati Uppal,51,2,Salaried,10786,647,0,24,50,73,38,0,0,0,795
Triveni Bail,58,1,Student,31541,4415,1,81,55,93,41,0,0,0,763
Chaitaly Chowdhury,35,1,Self-Employed,21284,5959,1,78,46,89,23,1,300947,1,742
Rushil Dugar,27,2,Salaried,13576,4480,2,11,57,95,19,0,0,0,738
Jeremiah Sampath,50,3,Salaried,46977,20200,1,11,60,84,19,0,0,0,744
Upasna Anne,47,2,Salaried,25592,13051,1,38,52,98,17,0,0,0,724
Aadi Chhabra,37,2,Self-Employed,24979,499,0,86,48,93,12,0,0,0,757
Hemangini Pillay,38,2,Salaried,10321,1651,1,13,50,85,12,0,0,0,778
Ria Tata,42,3,Salaried,50297,502,2,22,57,84,9,0,0,0,794
Abhiram Saha,46,3,Student,15512,5739,2,49,53,80,31,0,0,0,693
Aayush Sathe,47,2,Salaried,26033,16661,0,90,36,99,17,0,0,0,658
Kai Tandon,44,1,Self-Employed,36127,3973,0,37,49,92,23,1,478504,0,848
Advika Balakrishnan,28,1,Salaried,26408,528,2,89,78,74,22,0,0,0,681
Agastya Lal,41,1,Salaried,33725,1349,1,98,53,82,23,0,0,0,716
Abha Saxena,49,3,Salaried,37019,12586,1,64,42,94,28,1,150396,3,677
Gaurang Bhavsar,41,2,Salaried,71122,46229,0,14,46,79,44,0,0,0,682
Baghyawati Raman,23,2,Salaried,11558,2427,1,84,40,95,14,0,0,0,692
Champak Banerjee,51,3,Salaried,22100,1989,2,42,39,82,30,0,0,0,769
Tara Prabhakar,47,3,Self-Employed,47462,12814,1,66,49,72,23,1,386271,0,742
Leena Bhargava,47,3,Salaried,21591,13386,0,18,51,72,17,1,105723,0,680
Amaira Gola,29,1,Salaried,10000,800,1,11,48,89,45,1,446639,0,839
Nimrat Chand,53,1,Salaried,45269,3621,0,66,50,91,32,0,0,0,788
Avi Pant,53,1,Salaried,23743,3086,0,28,35,77,46,1,276175,0,838
Ikshita Raju,46,2,Student,13285,398,2,31,49,77,12,0,0,0,773
Qarin Sha,48,2,Salaried,24806,3720,2,77,38,86,25,0,0,0,725
Vihaan Srivastava,51,1,Salaried,28833,19606,0,68,41,93,5,0,0,0,667
Faqid Rattan,21,2,Self-Employed,14691,8080,1,86,50,73,32,0,0,0,575
Jhalak Boase,40,1,Salaried,20802,11025,0,80,52,99,13,0,0,0,678
Qabil Chowdhury,32,2,Salaried,30537,14657,1,63,53,85,23,0,0,0,654
Charvi Khurana,37,2,Salaried,13758,8392,0,20,46,74,43,0,0,0,667
Michael Khatri,35,2,Self-Employed,32129,1927,1,64,51,86,13,0,0,0,744
Fariq Pandya,54,3,Self-Employed,51582,11863,0,91,53,94,5,0,0,0,741
Jonathan Mani,36,2,Self-Employed,10000,4900,0,22,48,90,8,1,85800,2,720
Ekavir Mandal,24,1,Salaried,24299,13607,0,14,40,83,34,1,91916,0,680
Nidra Yogi,28,1,Salaried,27997,16238,1,37,54,72,31,0,0,0,627
Bhanumati Chandran,54,2,Salaried,23771,16401,0,19,45,81,39,0,0,0,695
Janya Thaman,45,3,Salaried,33097,12907,1,93,49,77,44,0,0,0,648
Girindra Varma,35,3,Self-Employed,25986,3897,2,55,43,90,28,0,0,0,733
Saanvi Bose,48,3,Salaried,35817,5372,0,65,38,90,46,0,0,0,765
Matthew Roy,29,2,Salaried,33410,13698,0,28,52,82,7,0,0,0,702
Devika Singhal,22,2,Salaried,13265,6499,0,40,59,76,15,0,0,0,650
Chaaya Reddy,37,2,Salaried,10420,4272,1,61,43,88,29,0,0,0,684
Girik Solanki,30,2,Salaried,11883,5941,0,92,49,79,37,0,0,0,616
Chakradhar Biswas,29,1,Salaried,50503,10605,2,75,58,79,21,1,329693,0,719
Gabriel Pradhan,51,1,Salaried,15826,5064,1,13,48,88,11,0,0,0,774
Faris Sule,22,2,Salaried,23627,6143,0,99,42,72,20,1,240026,0,679
Jackson Khatri,44,1,Salaried,35575,13162,0,78,51,89,39,0,0,0,699
Pushti Srinivasan,39,3,Self-Employed,21049,8419,3,54,44,73,24,1,149185,0,647
Qushi Aurora,37,3,Salaried,32831,15758,0,86,39,88,47,0,0,0,655
Wahab Sankar,30,2,Salaried,30709,921,0,56,43,90,44,1,329739,1,818
Pranit Srinivas,48,1,Salaried,16113,8701,0,77,52,73,43,0,0,0,641
Ucchal Goel,58,2,Salaried,12323,7640,2,23,50,74,18,0,0,0,677
Naksh Ramanathan,48,2,Student,34413,21680,0,96,49,70,49,0,0,0,598
Dayamai Virk,21,2,Self-Employed,27852,11140,2,80,42,81,49,0,0,0,617
Yoshita Subramanian,23,2,Self-Employed,16690,7510,1,56,62,84,48,0,0,0,650
Rachana Saran,35,3,Salaried,37352,14567,0,22,40,97,18,0,0,0,752
Ishani Ramaswamy,30,3,Self-Employed,20419,6125,1,21,50,73,27,1,135542,0,705
Chandran Ram,41,2,Self-Employed,25538,1787,0,53,43,81,33,0,0,0,763
Yash Malhotra,57,1,Salaried,25714,3085,1,69,48,75,11,0,0,0,742
Adya Chand,35,2,Self-Employed,17832,2496,0,80,52,89,42,0,0,0,728
Darika Mutti,43,3,Self-Employed,14177,2410,3,52,54,72,43,0,0,0,699
Meghana Bora,34,3,Salaried,44818,24201,2,11,50,96,45,0,0,0,709
Amrita Swamy,35,1,Self-Employed,48798,13175,0,30,60,88,6,0,0,0,750
Jairaj Bajaj,30,3,Salaried,14759,1475,0,13,53,71,37,0,0,0,759
Frederick Mahal,29,1,Salaried,20283,9330,1,28,52,87,43,1,125744,0,692
Jhalak Sarkar,59,2,Self-Employed,31183,6860,0,23,58,79,24,0,0,0,789
Aarini Edwin,25,3,Self-Employed,27285,12551,0,46,46,97,28,0,0,0,697
Amara Sarraf,45,2,Self-Employed,48659,2919,0,20,68,89,27,1,444055,0,871
Chakradhar Tank,46,2,Self-Employed,28953,289,1,70,59,99,48,1,101177,1,792
Ishanvi Sibal,28,1,Salaried,25239,16910,1,77,42,97,28,1,481191,1,669
Tarak Acharya,42,1,Salaried,10000,800,2,59,47,82,25,0,0,0,739
Chaitaly Mane,45,3,Salaried,10000,100,0,13,59,70,14,0,0,0,800
Oscar Chakrabarti,32,3,Student,16188,10198,0,58,53,98,36,0,0,0,665
Gabriel Raman,29,3,Salaried,17873,10008,2,37,62,89,17,0,0,0,657
Dhruv Manda,30,1,Salaried,23734,2610,1,82,38,84,45,0,0,0,704
Yashawini Karnik,30,3,Self-Employed,34871,6974,1,52,55,77,26,0,0,0,702
Udarsh Mammen,29,1,Self-Employed,21029,13668,3,42,51,77,17,0,0,0,600
Chaman Mannan,46,1,Salaried,17035,9369,0,72,54,95,35,0,0,0,684
Brijesh Kapur,55,2,Salaried,29879,20018,2,17,54,89,28,1,234393,1,748
Dayita Garg,47,2,Salaried,18799,11467,1,84,39,80,38,0,0,0,622
Mohini Sharma,51,1,Self-Employed,27150,3258,1,28,52,92,37,0,0,0,807
Chaitanya Saran,39,1,Self-Employed,13251,6095,0,21,50,94,18,0,0,0,740
Alka Sami,58,2,Self-Employed,26572,17803,0,51,51,83,45,0,0,0,677
Dayita Muni,26,1,Self-Employed,16935,2201,1,46,49,83,46,0,0,0,727
Yashodhara Mishra,35,1,Salaried,33748,2699,1,89,45,96,39,0,0,0,735
Chanakya Dhaliwal,49,2,Salaried,19676,7870,2,43,51,98,39,0,0,0,734
Dayita Chhabra,25,1,Self-Employed,20123,13482,1,60,45,80,21,0,0,0,597
Chakradev Bera,34,2,Salaried,15263,5952,0,44,35,89,33,0,0,0,712
Ekansh Thaker,22,3,Salaried,38660,11984,1,26,47,85,27,1,263237,2,758
Anvi Yogi,43,1,Self-Employed,25478,6369,2,70,56,96,8,0,0,0,723
Yashasvi Saha,39,3,Self-Employed,49841,30403,0,49,56,97,8,1,362227,0,738
Dev Mane,44,1,Salaried,24709,7906,2,90,47,96,6,0,0,0,691
Hitesh Mammen,40,1,Student,10725,1823,0,60,48,82,41,1,90827,1,736
Gaurangi Rout,47,2,Salaried,34081,10224,1,98,49,85,37,1,157919,0,680
Vinaya Puri,44,2,Salaried,38514,9628,3,84,48,70,43,0,0,0,649
Sarthak Chacko,37,2,Self-Employed,18827,5459,0,23,43,98,46,0,0,0,776
Gaurang Gera,45,1,Salaried,12544,1003,3,64,47,91,27,0,0,0,747
Matthew Golla,51,3,Salaried,56005,21841,3,28,54,80,5,0,0,0,709
Tanveer Wagle,48,3,Self-Employed,24427,9282,0,10,35,85,46,0,0,0,764
Zansi Kaul,48,3,Salaried,37370,20553,2,57,45,91,41,0,0,0,675
Baghyawati Gaba,42,2,Salaried,16230,0,1,16,57,95,43,0,0,0,834
Raghav Chadha,25,2,Salaried,25609,512,1,11,53,72,18,0,0,0,760
